loss_fn,metric,param_a,param_b,param_c,param_d,param_e,r2_train,adj_r2_train,r2_test,adj_r2_test,f_stat,f_pval,t_stat,t_pval,400m_mae,400m_rmse,400m_bias,1b_mae,1b_rmse,1b_bias,400m_boot_ci_lo,400m_boot_ci_hi,1b_boot_ci_lo,1b_boot_ci_hi,400m_delta_ci_lo,400m_delta_ci_hi,1b_delta_ci_lo,1b_delta_ci_hi
listnet,recall@1,0.25844254477314155,-3924588.7381485323,-1.05294024390278,-1.1784776882047752,-0.3716146650723319,0.9387898875335765,0.9375146768571927,0.10161811417449729,0.06338909775639068,736.1841497404561,3.123611391794318e-115,8.626881339183603,1.145567108821387e-13,0.011314415454348964,0.015015532370128135,0.009049977011292863,0.023337521770744746,0.03150774873249817,0.023337521770744746,nan,nan,nan,nan,0.19941682818795287,0.21035650933698263,0.20059732686853665,0.21357622082980815
listnet,recall@2,0.37918390172422656,-3943065.674488524,-1.031059237038127,-1.9681223854113459,-0.4036124854446006,0.9333537420783936,0.9319652783716935,0.11684402414604544,0.07926291879055802,672.220481943048,1.0954976800200158e-111,7.990934702435909,2.6524402992108868e-12,0.01590840879175387,0.021651765610105535,0.013188600946004412,0.03037431737979802,0.04405281469905161,0.03037431737979802,nan,nan,nan,nan,0.30167620140931006,0.3184869348656162,0.30338465496277384,0.3234912962991661
listnet,recall@5,0.5298770785571447,-6731188.859548951,-1.0478985769443476,-3.4014724418895628,-0.4581295808194991,0.9283679670893863,0.9268756330704152,0.07293922198475111,0.03348982717559157,622.0912713156833,1.1095215868119503e-108,6.046327526208419,2.6959942361083372e-08,0.01798076318044083,0.026444817908854387,0.01309990892345241,0.03414890024103051,0.05818811723155666,0.033960438540499925,nan,nan,nan,nan,0.4424587745797405,0.46555227160584434,0.4443996069029647,0.47190063929386233
listnet,recall@10,0.6184279714387398,-29254918.061150793,-1.1351590352631833,-4.577726956316033,-0.5028228967435721,0.9205203126776363,0.9188644858584204,-0.09104116777472648,-0.13746845150982123,555.9278917305697,2.3756469825318666e-104,4.6624582108698895,9.87548026907631e-06,0.02027442510725447,0.029556646596318747,0.011139478310486221,0.033113579781560945,0.06365965830290757,0.03108945113658747,0.5393047045174801,0.5598896913266362,0.5399252842148782,0.5694777082901616,0.5370098060738472,0.5620955529678274,0.5383794420880677,0.5674777602349479
listnet,recall@50,0.6873801657416586,-1217218053.8205748,-1.4114237916754784,-5.65542178734401,-0.6734929349448715,0.8646448055205238,0.8618249056355347,-0.869264359061541,-0.9488075232769255,306.6225188075676,3.514817715222814e-82,1.5612612580783627,0.121685743857111,0.014023602869702051,0.019309462819137826,0.0013427382402497745,0.01964528591157687,0.03730146512050919,0.007872117020690421,nan,nan,nan,nan,0.6603874617897435,0.6756163102557938,0.6603893152317193,0.676987087930284
listnet,recall@100,0.6666189112079801,-0.13700109889875217,-1.2868006331096764,-0.24482749278528046,-4.392198455314611,-312188507429.0406,-318692434667.16644,-305830733608.67676,-318844807379.3013,-47.999999999846246,1.0,-4.1680195764267465,6.631876225195586e-05,3.843827977000993e-11,6.146477466959821e-11,-2.3328361917943925e-11,3.9086704983759545e-11,6.133152872818378e-11,-2.4311346269456637e-11,nan,nan,nan,nan,0.6666189111979467,0.6666189112156767,0.6666189111987557,0.6666189112164858
listnet,precision@1,0.26302791358930033,-4131792.04868849,-1.0548087721895203,-1.2042845623092167,-0.37273869051477515,0.938592928563163,0.9373136145748956,0.09378666883412523,0.05522439942281132,733.6689328585321,4.25115448768682e-115,8.648770952737644,1.027547450173531e-13,0.011608453863799582,0.015380856092472396,0.009339410980003102,0.023813628230778542,0.032189120511824765,0.023813628230778542,nan,nan,nan,nan,0.20323188385781368,0.2143908131947904,0.20443015778022608,0.2176613969280086
listnet,precision@2,0.194419798596423,-2076394.513484788,-1.0324837382979157,-1.0012885788534753,-0.4020895347558871,0.9334792746559392,0.9320934262112712,0.11913273978540873,0.0816490265847879,673.5796242709729,9.14250192708124e-112,7.974916790772016,2.8694554587479737e-12,0.008147508246411148,0.011069188618243363,0.006751363441523894,0.015505069821343843,0.022536768041676966,0.015505069821343843,nan,nan,nan,nan,0.15451785074401791,0.16313050771654375,0.1553960632374875,0.16569194254159297
listnet,precision@5,0.10935340959534738,-1329657.4199583798,-1.0448482801517627,-0.6940131488701488,-0.45590272355730393,0.9287075126641472,0.927222252511317,0.08193012764749552,0.042863324568665595,625.2827229589575,7.033895339781545e-109,6.069690087398329,2.4258321829955513e-08,0.0037082603249378914,0.005435194131101514,0.0026905524267902374,0.00705457676550339,0.01197346943739606,0.007018181153030267,nan,nan,nan,nan,0.0911793245765499,0.09595059127931405,0.09158914444600198,0.09727652393293475
listnet,precision@10,0.06397145723074915,-2905410.9429909,-1.132385956620683,-0.4665752131530582,-0.4996253842238254,0.920615874199566,0.9189620382453904,-0.08656810008609028,-0.13280504051528563,556.6548918441019,2.116742768908664e-104,4.70844704655116,8.221258501584912e-06,0.0021015815160691136,0.003060306787938781,0.001159579372691912,0.003434257046001401,0.006576202347467326,0.003239647260071235,0.05565570333405582,0.05792940864724604,0.055981855819451976,0.05896620172233689,0.055456344342589864,0.05805802547758533,0.05560076972438876,0.05862084950510912
listnet,precision@50,0.014278606739501794,-27003186.63565677,-1.4149506320381324,-0.11604125164804001,-0.669937553228214,0.8639489445324153,0.8611145475435074,-0.8521404366616663,-0.9309549233281202,304.80872930409856,5.745769153579463e-82,1.6530456439581798,0.10152177093241552,0.00029050707746278837,0.00040238985373233224,3.3174054839779376e-05,0.0004080576126142863,0.0007770175397014212,0.00016985380115754943,nan,nan,nan,nan,0.013709881088628445,0.014028521928744386,0.01370991419068133,0.014056950979504412
listnet,precision@100,0.00692836676563411,-0.30422206533937174,-1.33888673661822,-0.001008820267163626,-3.139561860757172,-2469286059429103.5,-2520729519000543.5,-7579319969524135.0,-7901844223546439.0,-47.99999999999998,1.0,1.2885678354150287,0.20058214000482014,1.4493375373855359e-11,7.593802564144713e-11,1.0205498807855656e-11,1.4776940868849174e-11,7.509194495944795e-11,9.297243374478681e-12,nan,nan,nan,nan,0.006928366746037032,0.006928366783376524,0.006928366746396073,0.00692836678432467
listnet,ndcg@1,0.26302791358930033,-4131792.04868849,-1.0548087721895203,-1.2042845623092167,-0.37273869051477515,0.938592928563163,0.9373136145748956,0.09378666883412523,0.05522439942281132,733.6689328585321,4.25115448768682e-115,8.648770952737644,1.027547450173531e-13,0.011608453863799582,0.015380856092472396,0.009339410980003102,0.023813628230778542,0.032189120511824765,0.023813628230778542,nan,nan,nan,nan,0.20323188385781368,0.2143908131947904,0.20443015778022608,0.2176613969280086
listnet,ndcg@2,0.3365023842506699,-4001628.886973481,-1.0388112489175103,-1.6819964239756118,-0.3943572064276496,0.9354364543319184,0.9340913804638333,0.11182178072193127,0.0740269628803113,695.4535929418427,5.21053978910067e-113,8.207738530074938,9.124316598378603e-13,0.01418574535938628,0.019297501101285242,0.011783550017210506,0.027974090761828507,0.039642621838929304,0.027974090761828507,nan,nan,nan,nan,0.26557074010132314,0.2802349490976302,0.26709561788019,0.2845849993919707
listnet,ndcg@5,0.4042342968459617,-5246223.616705474,-1.04661740295136,-2.298538435671185,-0.4274147490583176,0.9331712414636171,0.9317789756607757,0.09584984873862978,0.057375374216869335,670.2536538347911,1.424096327743685e-111,7.033551569525026,2.739371659304466e-10,0.014880075307034052,0.021288254881154555,0.011746562534628574,0.0296722854176064,0.04592863011006415,0.0296722854176064,nan,nan,nan,nan,0.32946610779126945,0.34689870739058865,0.33111898476586005,0.3518723955628323
listnet,ndcg@10,0.4323135834377263,-9531998.049606763,-1.0819879740796436,-2.6329751808701336,-0.4488527741193998,0.931212686234409,0.9297796171976258,0.04373985130065261,0.003047930079403738,649.8030885690828,2.2748502997714603e-110,6.3732884134948815,6.062296202473485e-09,0.015029203080256674,0.02189118427381669,0.0111401184591912,0.02884219475982924,0.04748702777216484,0.02884219475982924,0.3625140823712001,0.3782445686360088,0.3634001485826042,0.38289426342946253,0.36056190822327955,0.37849294190904575,0.3620259279226012,0.38313941920006694
listnet,ndcg@50,0.445798305331894,-14725060.558297202,-1.1185112863667064,-2.637952504516038,-0.47929304604729334,0.9292471235890943,0.9277731053305338,-0.011304520221955716,-0.054338755125017624,630.4176479445779,3.3937306713405307e-109,5.907931376411217,5.02191070444441e-08,0.012761446826639475,0.01883280463078329,0.00908680144912217,0.024145973599264195,0.041642539558349796,0.023995759419608256,nan,nan,nan,nan,0.389628245796541,0.40505879045008464,0.3906947265619694,0.4086727641098726
